destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,derribo,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
destacado,Castilla y León,Soria,Garray,true,4209401,Cúpulas de la Energía,42094,Privada,,true,Otros,Uso parcial,"Las Cúpulas de la Energía se encuentran en la Ciudad del Medio Ambiente, proyectada por la Junta de Castilla y León en 2033 en Garray, a cinco kilómetros de Soria. Del macroproyecto solo se puso en marcha el parque empresarial, que sigue funcionando. La alcaldesa del municipio, María José Jiménez, espera que la Junta cumpla con la promesa de destinar 14 millones de euros a acabar las cúpulas.","Pasaje los Negredos, 42162",41.8138059,-2.4827347,"https://www.google.es/maps/@41.8138059,-2.4827347,3a,75y,296.26h,114.46t/data=!3m8!1e1!3m6!1sAF1QipPoaNxeFmsUoh5-J23TXpr7oGMJtkBlafkHMMno!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPoaNxeFmsUoh5-J23TXpr7oGMJtkBlafkHMMno%3Dw203-h100-k-no-pi-0-ya141.81041-ro-0-fo100!7i4608!8i2304?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/garray_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/garray_12.jpg,,,,En Portada (RTVE),Previo al lanzamiento del proyecto
destacado,Castilla y León,Soria,Garray,false,4209401,Cúpulas de la Energía,42094,Pública,,true,Otros,Uso parcial,"Las Cúpulas de la Energía se encuentran en la Ciudad del Medio Ambiente, proyectada por la Junta de Castilla y León en 2033 en Garray, a cinco kilómetros de Soria. Del macroproyecto solo se puso en marcha el parque empresarial, que sigue funcionando. La alcaldesa del municipio, María José Jiménez, espera que la Junta cumpla con la promesa de destinar 14 millones de euros a acabar las cúpulas.","Pasaje los Negredos, 42162",41.8138059,-2.4827347,"https://www.google.es/maps/@41.8138059,-2.4827347,3a,75y,296.26h,114.46t/data=!3m8!1e1!3m6!1sAF1QipPoaNxeFmsUoh5-J23TXpr7oGMJtkBlafkHMMno!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPoaNxeFmsUoh5-J23TXpr7oGMJtkBlafkHMMno%3Dw203-h100-k-no-pi-0-ya141.81041-ro-0-fo100!7i4608!8i2304?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/garray_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/garray_12.jpg,,,,En Portada (RTVE),Previo al lanzamiento del proyecto
,Comunidad Valenciana,Alicante,Alicante,true,301401,Edificio abandonado en Alicante,03014,Privada,,false,Residencial,Sin uso,"Localizado gracias a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios, a Adrián Porto y a Esther Ribes. La construcción iba a ser un bloque de viviendas, pero lleva 20 años abandonado. Además, según cuentan desde el colegio contiguo a la parcela, los constructores invadieron parte de su suelo y que el Ayuntamiento de Alicante lo denunció. El departamento de prensa del consistorio lo corrobora y asegura que ""esa edificación carece de licencia de construcción"".","Calle Víctor de la Serna 33, 03006",38.3489901,-0.5158793,"https://www.google.com/maps/@38.3489901,-0.5158793,3a,75y,318.07h,99.64t/data=!3m7!1e1!3m5!1sHYsCx70X_lsAAm1Z5JPAyQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DHYsCx70X_lsAAm1Z5JPAyQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.33992%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alicante_1.jpg,Esther Ribas,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alicante_12.jpg,Esther Ribas,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alicante_13.jpg,Esther Ribas,Cadáveres inmobiliarios / Adrián Porto / Esther Ribas,Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Alpedrete,true,2801001,Edificio de oficinas,28010,Privada,,false,Comercial/ocio,Sin uso,"Algunas fuentes informan que el edificio lleva terminado desde 2015 y que nunca llegó a ser usado. Su estado actual es ""lamentable, vandalizado y abandonado"". Gracias a las imágenes de Google Maps se puede apreciar que su construcción comenzó en 2008. Por el momento no se ha obtenido más información por parte del Ayuntamiento de Alpedrete.","Calle de los Talleres 19, 28430",40.6587904,-4.0163301,"https://www.google.com/maps/@40.6587904,-4.0163301,3a,75y,354.22h,88.91t/data=!3m6!1e1!3m4!1sWlEOe0pUH8RXiSzbZ-Hd3Q!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alpedrete_1.jpg,,,,,,Angelyo,Previo al lanzamiento del proyecto
,Castilla y León,Valladolid,Herrera de Duero (Tudela de Duero),true,4717501,Edificio de viviendas en Tudela de Duero,47175,Privada,,false,Residencial,Sin uso,"Se trata de una promoción de viviendas unifamiliares junto a la A-601, a la altura de Herrera del Duero, localidad cuyo Ayuntamiento es gestionado por Tudela de Duero. Fuentes de este último consistorio afirman que llevan así desde la crisis de 2008, sin problemas aparentes en cuanto a licencias. Denuncian que han sufrido problemas de okupación y que han pedido a la Sareb, que es quienes la gestionan, que vallaran el perímetro para evitar más daños.","Calle Senda del Castañar 18, 47161",41.5610154,-4.6663569,"https://www.google.com/maps/@41.5610154,-4.6663569,3a,90y,346.53h,79.67t/data=!3m6!1e1!3m4!1s9m2iQNIjBXYHk5O1PA3OjQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/tudela_1.jpg,A. M. M. P.,https://rtve.es/contenidos/fotos/datos/2023/hormigon/tudela_12.jpg,A. M. M. P.,,,DatosRTVE,Previo al lanzamiento del proyecto
,Aragón,Huesca,Villanúa,true,2225001,Edificio El Carrascal,22250,Pública,,false,Residencial,Sin uso,"Según informó el propio Ayuntamiento en una nota de prensa y explicaron desde la <a href=""https://www.rtve.es/play/audios/informativo-de-aragon/jesus-lera-cronica-aragon-huesca-1355-04-004-23/6851485/"" target=""_blank"">Unidad Informativa de Huesca de RTVE</a>, la construcción quedó parada hace unos meses en la urbanización La Espata. El consistorio ha optado por adquirir el terreno y la estructura del conocido como Edificio El Carrascal para poder acabar las 23 viviendas ""en un plazo aproximado de dos años"" y así dar respuesta a un problema del municipio, que es el acceso a una primera vivienda. La construcción se encuentra en la calle Aragón, pero la opción de Street View no permite desplazarse tan cerca de esa zona.","Calle Aragón, 22870",42.6788549,-0.5373916,"https://www.google.com/maps/@42.6788549,-0.5373916,3a,75y,284.2h,97.31t/data=!3m6!1e1!3m4!1sEBBX5jqd0Wty5yK9I0-9_g!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/villanua_1.jpg,Ayuntamiento Villanúa,,,,,María Jesús Lera (Centro Territorial RTVE Aragón),Previo al lanzamiento del proyecto
,Cataluña,Girona,Bordils,true,1702501,Edificio en Bordils,17025,Privada,,false,Residencial,Sin uso,"Según la información ofrecida por la Unidad Informativa de Girona de RTVE, es una construcción iniciada en la crisis económica que no ha llegado a finalizarse. En la actualidad es propiedad de un banco. Las imágenes de Google Maps, de agosto de 2018, revelan que lleva parado desde 2009 y que los únicos cambios aparentes son las pintadas en sus muros. Por el momento no se ha obtenido más información.","C-66 83, 17462",42.0379587,2.9164906,"https://www.google.com/maps/@42.0379587,2.9164906,3a,75y,157.67h,96.09t/data=!3m6!1e1!3m4!1sftZZOO_2B-ndmcYS_Eu_Tw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,Centro Territorial RTVE Cataluña (Unidad informativa Girona),Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Bustarviejo,true,2802801,Edificio en Bustarviejo,28028,Privada,,false,Residencial,Sin uso,"El histórico de imágenes de Google Maps revela que la construcción de este edificio comenzó en agosto de 2008 y desde octubre de 2012 no se aprecian cambios en la estructura. Desde el Ayuntamiento de Bustarviejo aseguran que lleva bastante tiempo abandonado y que se había proyectado como un bloque de viviendas, pero no se ha podido obtener más información desde el consistorio.","Travesía Mayor 4, 28720",40.8579237,-3.7103434,"https://www.google.com/maps/@40.8579237,-3.7103434,3a,75y,106.52h,99.27t/data=!3m6!1e1!3m4!1sZFqv6w9hgsi6PWKAEgwk0g!2e0!7i13312!8i6656?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/bustarviejo_1.jpg,,,,,,José Galarón Medina,Previo al lanzamiento del proyecto
,Comunidad Valencia,Castellón,Càlig,true,1203401,Edificio en Càlig,12034,Privada,,false,Residencial,Sin uso,"Según informan desde <a href=""https://www.inmoalcor.es/recursos/ficha1.php?ID=edificio-venta-calig-calig-32ha8msova1z37024370243209AM01"" target=""_blank"">Alcor Inmobiliaria</a>, se trata de un edificio propiedad de una entidad bancaria y que se vende en su totalidad. Es una estructura para construir 24 apartamentos con 24 plazas de parking, y tiene más de 2.000 m2 distribuidos en dos alturas sobre rasante y sótano.","Calle de Tortosa 5, 12589",40.4576343,0.3536812,"https://www.google.com/maps/@40.4576343,0.3536812,3a,75y,116.23h,88.15t/data=!3m6!1e1!3m4!1ss9QNKac3rQfEl9EnK45eyQ!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_1.jpg,Alcor Inmobiliaria,https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_12.jpg,Alcor Inmobiliaria,https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_13.jpg,Alcor Inmobiliaria,DatosRTVE,Previo al lanzamiento del proyecto
,País Vasco,Araba,Labastida,true,0102801,Edificio en Labastida,01028,Privada,,false,Residencial,Sin uso,"El edificio se encuentra en un solar destinado a la edificación de ocho viviendas unifamiliares adosadas. Fuentes del Ayuntamiento cuentan que el abandono se debe a una mala gestión por parte del promotor, y que en una parcela cercana, ahora también vacía, se iba a proyectar otro bloque. En distintos portales web el edificio aparece a la venta. Las imágenes de Google Maps, de agosto de 2013, ya revelaban el abandono del edificio y desde el consistorio comentan que su estado sigue igual.","Calle de la Horca, 01330",42.5902943,-2.8003244,"https://www.google.es/maps/@42.5902943,-2.8003244,3a,60y,118.23h,89.19t/data=!3m6!1e1!3m4!1sLtAfCQz4vQJdKT_X_MiPyg!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,DatosRTVE,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,El Vendrell,true,4316302,Edificio Palomar,43163,Privada,,false,Residencial,Sin uso,"En <a href=""https://www.diaridetarragona.com/costa/los-duenos-del-edificio-palomar-de-el-vendrell-piden-acabar-la-obra-20180129-0063-NSDT201801290063"" target=""_blank""><i>Diari de Tarragona</i></a> explicaban en 2018 que el inmueble, que llevaba más de una década parado, se había convertido en un gran palomar y que los vecinos estaban preocupados por la salubridad y suciedad que se estaba generando en él. De hecho, fueron ellos quienes pidieron la intervención del Síndic de Greuges (el Defensor del Pueblo en Cataluña) para presionar al consistorio, que explicó que los propietarios del inmueble tenían la voluntad de acabar la construcción. Las imágenes más recientes son de Google Maps, de agosto de 2022.","Carrer de l'Abadessa Emma 65, 43700",41.2112638,1.5316662,"https://www.google.com/maps/@41.2112638,1.5316662,3a,75y,193.14h,103.43t/data=!3m6!1e1!3m4!1sk-uHyHeAOU5pNcYX5EQ1wA!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,Anónimo,02/06/2023
,Cataluña,Tarragona,El Vendrell,true,4316301,Edificio polivalente,43163,Pública,,false,Otros,Sin uso,"Este edificio, inacabado desde hace más de diez años en un primer momento por endeudamiento municipal, fue concebido como una residencia de ancianos. De hecho, según <a href=""https://www.lavanguardia.com/local/catalunya/20220601/8308390/vendrell-traslada-policia-local-edificio-habia-previsto-casal-ancianos.html"" target=""_blank"">explican en <i>La Vanguardia</i></a>, el ayuntamiento de El Vendrell también se planteó que, una vez finalizado, construirían un centro de día para personas mayores justo al lado. En 2022 se decidió que albergaría las dependencias de la Policía Local, pero de momento no se vislumbra ningún avance. Las imágenes más recientes en Google Maps son de agosto de 2022.","Cerca de Carrer Roda-Mas Levi 2, 43700",41.2162254,1.5228687,"https://www.google.com/maps/@41.2156574,1.5227536,3a,75y,15.59h,85.03t/data=!3m6!1e1!3m4!1sGB0ywldF0feJgqCBTHiw4Q!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Anónimo,02/06/2023
,Andalucía,Jaén,Mancha Real,true,2305801,Edificio residencial en Mancha Real,23058,Privada,,false,Residencial,Sin uso,"En la inmobiliaria <a href=""http://inmuebles.grupoposlo.com/house/2426856-edificio-en-venta-en-mancha-real-de-3323-m2-331600eur-7270931/"" target=""_blank"">Grupo Poslo</a> está a la venta. Desde ahí comentan que la construcción está parada y que es propiedad de una entidad bancaria. No saben detallar desde cuándo está así, probablemente desde la crisis de 2008. Las imágenes en Google Maps, de noviembre de ese mismo año, corroboran esta hipótesis.","Calle Pintor Sorolla 11, 23100",37.787717,-3.6018057,"https://www.google.es/maps/@37.787717,-3.6018057,3a,75y,300.54h,87.58t/data=!3m6!1e1!3m4!1sBpkkD7IbnlH1A_AzPQ4YcA!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_1.jpg,Grupo Poslo,https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_12.jpg,Grupo Poslo,https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_13.jpg,Grupo Poslo,DatosRTVE,Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Pozuelo de Alarcón,true,2811501,Edificio residencial en Pozuelo de Alarcón,28115,Privada,,false,Residencial,Sin uso,"Las imágenes de Google Maps permiten ver que el edificio, que parece estar pensado como una vivienda unifamiliar, lleva parado desde al menos mayo de 2008 y que algunos fragmentos que lo tapiaban han desaparecido, según las últimas imágenes disponibles. Por el momento no se conoce más información.","Calle Vitoria 25, 28223",40.4072237,-3.7803529,"https://www.google.com/maps/@40.4072237,-3.7803529,3a,75y,119.39h,90.48t/data=!3m6!1e1!3m4!1sQmHGoZvyiug1oLxURs_2gw!2e0!7i16384!8i8192?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_13.jpg,,Águeda Bejarano,Previo al lanzamiento del proyecto
,Cataluña,Barcelona,Sant Celoni,true,0820201,Edificio residencial en Sant Celoni,08202,Privada,,false,Residencial,Sin uso,"Se trata de un edificio residencial que lleva parado desde que estalló la crisis económica de 2007-2008. La única actuación que se ha realizado de forma más reciente es su cubrimiento parcial por motivos de seguridad. Está pendiente de venta y de finalización, como atestiguan algunos portales web.","Calle Dr. Barri i Draper 10, 08470",41.684368,2.4870916,"https://www.google.com/maps/@41.684368,2.4870916,3a,75y,58.9h,115.44t/data=!3m6!1e1!3m4!1sHB4S2hoGI5fUaYsIcDd3pw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,DatosRTVE,Previo al lanzamiento del proyecto
,Aragón,Teruel,Teruel,true,4421601,Edificio residencial en Teruel,44216,Privada,,false,Residencial,Sin uso,"Revisando las imágenes de Google Maps de enero de 2009 se puede comprobar que la estructura forma parte de un residencial llamado Santa Bárbara. Entre 2013 y 2015 se construyó parte de lo que persiste en la actualidad, y desde 2018 las obras permanecen paradas.","Calle Monotes 14, 44003",40.3478076,-1.1019874,"https://www.google.es/maps/@40.3478076,-1.1019874,3a,75y,108.6h,89.66t/data=!3m7!1e1!3m5!1sFLWEZ77uaOsNAGD8d3kLzg!2e0!5s20180901T000000!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_13.jpg,,Centro Territorial RTVE Aragón,Previo al lanzamiento del proyecto
,Cantabria,Cantabria,Torrelavega,true,3908701,Edificio residencial en Torrelavega,39087,Privada,,false,Residencial,Sin uso,"Según informa gente de la zona, se trata de un edificio de viviendas que se empezó a construir entre los años 80 y 90, y muchas personas lo han conocido siempre así. David Laguillo, en <a href=""https://www.estorrelavega.com/edificios-fantasma-torrelavega/"" target=""_blank""><i>EsTorrelavega.com</i></a>, apunta a que la paralización en su construcción se debe a que el desarrollo del Plan Parcial Mies de Vega quedó en el aire.","Calle Carlos Pondal 24, 39300",43.3498992,-4.0583125,"https://www.google.com/maps/@43.3498992,-4.0583125,3a,75y,4.46h,111.65t/data=!3m6!1e1!3m4!1s1aoxHyHh3xUHA1O8sZkViA!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega.jpg,,Elena Prieto,Previo al lanzamiento del proyecto
,Islas Canarias,Santa Cruz de Tenerife,La Matanza de Acentejo,true,3802501,El Esqueleto,38025,Privada,,false,Residencial turístico/hotelero,Sin uso,"El mamotreto de Acentejo, también conocido como El Esqueleto, está formado por las enormes estructuras de dos hoteles inacabados de los años 70 del siglo XX. En 2019, el PSOE presentó un nuevo Plan de Costa Acentejo para demoler el mamotreto, según informa <a href=""https://www.eldia.es/tenerife/2019/05/26/nuevo-plan-costa-acentejo-propondra-22629017.html"" target=""_blank""><i>El Día</i></a>. Las imágenes de Google Maps, de abril de 2009, muestra su estado desde hace más de diez años. También Tomáš Souček <a href=""https://es.foursquare.com/v/el-esqueleto/60671570109d2f17b03716dd?openPhotoId=60ded9e958791a0f263f4a27"" target=""_blank"">ha ofrecido una imagen más reciente (de julio de 2021)</a> y afirma que la estructura se mantiene.","Carretera El Caletón 184, 38379",28.4590742,-16.46588,"https://www.google.com/maps/@28.4590742,-16.46588,3a,18.7y,60.54h,91.12t/data=!3m7!1e1!3m5!1swHUAast_eUE_1m3uLiBmBQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DwHUAast_eUE_1m3uLiBmBQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D205.63908%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=es&entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/matanzaacentejo_1.jpg,Tomáš Souček,,,,,Bárbara López,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,true,4390401,El Mirador del Ebro,43904,Privada,,false,Residencial,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,,false,Residencial turístico/hotelero,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,,false,Residencial turístico/hotelero,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,,false,Deportivo,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,,false,Comercial/ocio,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
